   MJD       EECO-REF    NIST-REF NS   DATE    COMMENTS	
=========    ========    ======== == ========  ========
 49320.00       0.0        -5.000 g 28-NOV-93  MK *NEEDS CORRECTIONS
 49358.71       0.0        -2.000 g 06-JAN-94  MK *NEEDS CORRECTIONS
 49427.33       0.0        -0.700 g 16-MAR-94  MK Effelsberg: maser-GPS
 49455.26       0.0        -8.300 g 13-APR-94  MK Effelsberg: maser-GPS
 49460.78       0.0       -11.500 g 18-APR-94  MK Effelsberg: maser-GPS
 49537.70       0.0        -2.009 g 04-JUL-94  MK Effelsberg: maser-GPS
 49541.29       0.0        -3.000 g 08-JUL-94  MK  *NEEDS CORRECTIONS
 49575.25       0.0       -10.500 g 11-AUG-94  MK Effelsberg: maser-GPS
 49575.68       0.0       -10.500 g 11-AUG-94  MK Effelsberg: maser-GPS
 49589.53       0.0        -0.400 g 25-AUG-94  MK Effelsberg: maser-GPS
 49650.54       0.0        -0.746 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.63       0.0        -0.713 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.65       0.0        -0.800 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.67       0.0        -0.666 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.69       0.0        -0.609 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.77       0.0        -0.729 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.79       0.0        -0.733 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.86       0.0        -0.767 g 25-OCT-94  MK Effelsberg: maser-GPS
 49650.88       0.0        -0.851 g 26-OCT-94  MK Effelsberg: maser-GPS
 49651.00       0.0        -0.720 g 26-OCT-94  MK Effelsberg: maser-GPS
 49651.02       0.0        -0.903 g 26-OCT-94  MK Effelsberg: maser-GPS
 49651.04       0.0        -0.857 g 26-OCT-94  MK Effelsberg: maser-GPS
 49651.21       0.0        -0.912 g 26-OCT-94  MK Effelsberg: maser-GPS
